Rank,Club,Country,Level,Elo,From,To
1,Barcelona,ESP,1,2027.20507812,2018-05-27,2018-07-26
2,Real Madrid,ESP,1,2022.88867188,2018-05-27,2018-07-26
3,Man City,ENG,1,1973.61560059,2018-05-27,2018-07-26
4,Juventus,ITA,1,1960.98693848,2018-05-20,2018-07-26
5,Bayern,GER,1,1946.84082031,2018-05-13,2018-07-26
6,Atletico,ESP,1,1931.30737305,2018-05-27,2018-07-26
7,Liverpool,ENG,1,1915.98413086,2018-05-27,2018-07-26
8,Tottenham,ENG,1,1913.50280762,2018-05-27,2018-07-26
9,Man United,ENG,1,1883.58837891,2018-05-27,2018-07-26
10,Paris SG,FRA,1,1880.67932129,2018-05-20,2018-07-26
11,Napoli,ITA,1,1857.64550781,2018-05-21,2018-07-26
12,Roma,ITA,1,1848.39782715,2018-05-21,2018-07-26
13,Chelsea,ENG,1,1835.65820312,2018-05-27,2018-07-26
14,Arsenal,ENG,1,1822.65515137,2018-05-27,2018-07-26
15,Valencia,ESP,1,1798.97851562,2018-05-27,2018-07-26
16,Monaco,FRA,1,1771.04748535,2018-05-28,2018-07-26
17,Lyon,FRA,1,1766.22021484,2018-05-28,2018-07-26
18,Porto,POR,1,1765.65893555,2018-05-28,2018-07-26
19,Marseille,FRA,1,1765.39123535,2018-05-28,2018-07-26
20,Sevilla,ESP,1,1764.32128906,2018-05-28,2018-07-26
21,Villarreal,ESP,1,1761.08190918,2018-05-28,2018-07-26
22,Lazio,ITA,1,1755.68408203,2018-05-28,2018-07-25
23,Shakhtar,UKR,1,1755.01477051,2018-05-28,2018-07-25
24,Inter,ITA,1,1754.56652832,2018-05-28,2018-07-26
25,Salzburg,AUT,1,1745.90942383,2018-05-28,2018-07-25
26,CSKA Moskva,RUS,1,1743.36853027,2018-05-21,2018-07-25
27,Dortmund,GER,1,1741.27697754,2018-05-21,2018-07-26
28,Schalke,GER,1,1739.05114746,2018-05-21,2018-07-26
29,Atalanta,ITA,1,1734.27331543,2018-05-21,2018-07-26
30,Sociedad,ESP,1,1731.92907715,2018-05-27,2018-07-26
